#Table1
objid,ra,dec,u,g,r,i,z
1237667540679786856,149.948228304594,19.9473807716835,21.69041,20.63798,20.25419,20.09247,20.03105
1237667540679786867,149.96171714364,19.9545373746099,21.76895,20.92687,20.64721,20.51401,20.64172
1237667540679787735,149.957470733553,19.948364679449,25.48231,24.60806,25.00093,24.96217,21.25213
1237667540679786849,149.933568023687,19.9667753224709,22.63658,24.3239,24.63825,24.66232,22.89179
1237667540679786538,149.929614873062,19.9691756718378,24.5862,24.51839,23.52724,22.52266,22.9873
1237667540679787206,149.940921589916,19.9492681951107,24.34356,24.00892,23.23265,22.70215,21.93315
1237667540679787204,149.939433957816,19.94863882096,25.46928,22.86565,21.26058,20.07184,19.36119
1237667540679787753,149.936652911615,19.9534737167404,25.44718,23.72989,23.95931,23.42557,23.23993
1237667540679786542,149.933904371,19.946953882503,18.09332,16.27126,15.5837,15.31384,15.19024
1237667540679786643,149.93112670582,19.9564138326593,20.93421,19.20614,18.48445,18.19467,18.07238
1237667536933486796,149.975143806986,20.0488275678632,21.82082,18.90696,17.39165,16.23801,15.62426
1237667536933486799,149.983092297532,20.0418791455222,23.87619,19.61578,17.92018,15.56056,14.19144
1237667536933487376,149.970974119787,20.0450184435566,25.55033,23.54097,21.85809,20.76174,20.03244
1237667536933487403,149.975212966082,20.070763911265,23.79756,23.1978,22.625,22.3837,22.37665
1237667536933487406,149.985227018318,20.0397833456174,25.60693,23.55432,24.59043,24.44667,22.89272
1237667536933487440,149.997732595692,20.064608771016,24.28834,22.08126,21.81646,21.48088,21.45144
1237667536933487782,150.000880206934,20.0471112843105,25.45629,24.50975,23.0074,22.32149,22.41913
1237667536933487820,149.978599342404,20.0405904475416,24.49098,24.9227,24.88753,23.1726,19.28066
1237667536933487823,149.979026134944,20.0591902594703,24.5662,24.62181,25.4333,24.12381,21.21616
1237667536933552169,150.033152885273,20.06065184273,15.71954,14.64083,13.86862,13.74514,13.77949
1237667536933552170,150.036009551597,20.0554074799492,18.32748,17.13987,16.66224,16.47417,16.41367
1237667536933552171,150.030169843825,20.060903577745,22.87752,20.15911,18.79348,17.59494,16.97581
1237667536933552268,150.025771122236,20.0729500150473,20.46467,17.95368,16.69319,16.15012,15.86218
1237667536933552274,150.029371769978,20.0710659659196,22.12444,24.04326,24.83774,24.12619,23.57829
1237667536933552281,150.04595011651,20.0697574497468,23.50937,23.91869,23.19703,22.72733,23.00898
1237667536933552370,150.006925951785,20.06676312683,23.51656,20.40834,18.97378,18.05766,17.57124
1237667536933552668,150.026823476119,20.0569677875881,25.57459,23.04226,22.02707,21.66772,21.38085
1237667536933552714,150.046252759957,20.0540691040011,24.94751,23.22929,25.52004,25.49395,22.93958
1237667536933553164,150.012649257564,20.0675112826357,25.44723,23.41198,22.99892,22.62136,21.47634
1237667536933553171,150.019999927285,20.0656556067967,25.88634,23.79402,22.82987,23.24994,22.39665
1237667536933553447,150.053269370629,20.0657113005699,24.005,23.44138,23.25649,22.39003,21.60314
1237667540679852070,149.980818780758,20.0172764909334,15.99864,13.61805,12.50557,12.18836,13.00015
1237667540679852073,149.984474872915,20.0226409699239,24.69285,24.9864,24.54296,22.49609,22.76906
1237667540679852074,149.978150532379,20.0210798341813,23.86766,24.33708,23.96565,22.60832,22.84336
1237667540679852075,149.986484231956,20.0171873194152,23.60378,23.08557,23.39736,22.98437,22.75075
1237667540679852076,149.975554561558,20.0202183954509,22.7417,24.45482,25.21869,23.83972,22.92216
1237667540679852078,149.989878736349,20.0133573741907,15.66645,14.51006,14.2544,14.27221,13.96794
1237667540679852094,150.025258920018,20.0447458638143,18.88368,16.50502,15.50606,15.14918,14.96568
1237667540679852095,150.027002961406,20.0444521617817,23.9342,23.16954,22.82341,23.18699,22.73956
1237667540679852102,150.051970603727,19.978876786933,17.75831,15.65362,14.78657,14.465,14.30313
1237667540679852103,150.053843169862,19.978515355168,22.68291,24.93208,24.45508,24.30656,23.14767
1237667540679852111,150.060273864785,19.966487630272,15.35991,13.90571,13.25711,13.1883,13.62227
1237667540679852113,150.063287724493,19.9632224511364,25.11996,23.78764,23.06904,22.3964,21.80136
1237667540679852114,150.057400846449,19.9674053891442,22.60666,24.22511,24.45475,22.81128,23.03099
1237667540679852125,150.062918391078,20.0557431950983,16.68234,15.48978,15.07416,14.90063,14.83469
1237667540679852158,149.988714626999,19.9527360415701,25.71609,24.25845,23.19218,22.26664,22.33821
1237667540679852165,149.994239098208,19.9461841822184,20.40411,18.11418,17.17056,16.85064,16.65546
1237667540679852170,149.98186833215,20.0057779544667,21.55788,19.39304,18.23996,17.76966,17.47716
1237667540679852171,149.9813453394,20.0059179744392,24.19412,22.9533,21.98195,21.45739,20.65025
1237667540679852185,150.000832131139,19.9677246885678,24.28529,24.97887,24.68963,24.28757,21.17146
1237667540679852189,149.992649813983,20.0031236031519,21.76685,19.50491,18.38754,17.96054,17.7053
1237667540679852196,150.015838518624,19.9473307524058,20.69098,19.84005,19.57163,19.46841,19.41268
1237667540679852197,150.016668128192,19.9484777862325,25.05115,23.99421,22.78419,22.37241,22.29454
1237667540679852199,150.007614995495,20.0392655520947,22.0864,19.71239,18.55643,17.99364,17.66514
1237667540679852207,150.02871710229,20.0319164214195,24.59518,24.94976,23.03263,21.84676,21.02443
1237667540679852217,150.050400913353,19.9665491721567,21.54541,19.28443,18.24381,17.78492,17.5203
1237667540679852218,150.051498058738,19.9651740276079,25.13831,23.65528,23.08484,23.81358,21.96425
1237667540679852225,150.037422237161,20.0406068308928,22.18697,20.05712,18.88097,18.40751,18.11821
1237667540679852245,150.069397663786,19.9984536508909,20.23229,19.02747,18.48479,18.27176,18.17243
1237667540679852307,150.045738302795,19.9295398209907,23.9003,21.13033,19.71663,19.07792,18.75595
1237667540679852349,150.073977754642,20.0221027308048,24.52146,24.19153,22.0373,21.72141,21.05154
1237667540679852395,150.053659966657,19.975440163358,23.32507,21.33624,19.78316,18.67716,18.07425
1237667540679852399,150.06284602422,19.9840785152128,25.00755,24.69939,23.22618,22.54697,22.7804
1237667540679852433,149.995389016796,19.9659416689505,24.58249,23.82536,23.10675,23.04864,21.88751
1237667540679852438,149.989204288643,20.0313387627609,22.06614,24.76167,24.07362,22.95353,23.95202
1237667540679852442,149.99671476148,20.0165717746859,24.12919,22.81995,21.29885,20.71493,20.21899
1237667540679852445,150.024388139705,19.9211407064148,21.69342,20.4902,20.17162,20.13352,20.14277
1237667540679852448,150.000532772657,20.0340098498144,22.51219,24.79505,25.09431,25.10989,22.84663
1237667540679852449,149.99955457631,20.0393720323987,22.49017,21.86749,21.31405,21.24245,21.06739
1237667540679852472,150.047869392941,19.9508832463785,22.03839,20.87192,20.55552,20.4432,20.35356
1237667540679852478,150.050068859194,19.9734757511799,22.34298,22.28351,21.6297,21.2446,21.22821
1237667540679852494,150.052282206765,20.0445198062293,22.32764,23.03583,21.91973,21.72927,21.14098
1237667540679852595,150.007281134605,19.9296431897356,23.56193,23.11246,22.0946,21.85562,21.31284
1237667540679852598,149.990692875962,20.0013755581806,26.00403,22.96045,22.91346,23.31128,21.57102
1237667540679852602,150.00290279722,19.9626809897604,24.63852,20.94633,19.9981,19.63924,19.42664
1237667540679852607,150.005760812449,19.9683466418925,23.24643,21.61259,20.79399,20.54074,20.3294
1237667540679852614,150.002066676906,19.9908976068509,23.641,22.7256,22.06552,21.97886,21.39964
1237667540679852621,150.00157311177,20.0019105498697,24.38565,23.82679,23.25439,22.4147,22.24143
1237667540679852623,150.000504546472,20.0155764171921,24.75519,23.41311,24.10892,23.27042,22.04775
1237667540679852626,149.996075421635,20.0305455711059,24.05302,24.45706,22.70075,21.11112,20.20724
1237667540679852631,150.017256925076,19.9626590081133,24.39509,22.72112,22.4221,22.46421,21.4403
1237667540679852636,150.020444394589,19.9575360359057,23.1258,22.7115,22.21002,21.83234,21.41492
1237667540679852638,150.003022463629,20.0315242118005,23.70752,22.33726,21.91357,21.74896,21.6074
1237667540679852672,150.034782118697,19.9465745336865,23.72097,22.49149,22.06409,21.99713,21.87659
1237667540679852673,150.035626408736,19.9457355273845,23.3279,23.43356,23.90002,23.77064,22.81033
1237667540679852694,150.023595006868,20.0162851868547,23.63769,23.71037,22.99339,23.60553,22.86188
1237667540679852698,150.042972062872,19.9571568116864,24.50515,21.85905,20.54017,20.0115,19.77749
1237667540679852707,150.043105653135,19.9681972407909,25.95386,24.50928,23.17139,23.23728,22.47069
1237667540679852714,150.046925228464,19.9559208048522,24.23873,24.45536,24.60541,22.63766,23.12794
1237667540679852747,150.037141467396,20.0348212180029,24.00885,22.21731,20.62231,19.57871,18.91265
1237667540679852789,150.045232277587,20.0502758678593,24.06666,21.97385,21.22931,20.92295,20.83462
1237667540679852801,150.071966954904,19.9785263784835,24.75145,23.01505,21.42643,20.20774,19.47961
1237667540679852803,150.074211591707,19.9721218251692,25.69695,23.15545,24.95707,24.97245,23.61905
1237667540679852840,150.085886104956,19.984510163771,24.14174,22.11775,21.01122,20.58104,20.29366
